ID,CREATEDDATE,CASE__C,RESOLUTION__C,OVERALL_GENERAL_COMMENTS__C,CUSTOMER_EFFORT__C,ACCOUNTID
a0k1B00000H4fwmQAB,2018-06-26 08:19:48.000,5001B00001A3kynQAB,6,,6,0013000000dqNDNAA2
a0k1B00000H4fwhQAB,2018-06-26 07:45:20.000,5001B000017KDsNQAW,6,,4,0011300001t7xMBAAY
a0k1B00000H4fwcQAB,2018-06-26 07:41:41.000,5001B00001A3U4BQAV,6,,6,0011300001t7xMBAAY
a0k1B00000H4fwXQAR,2018-06-26 07:28:52.000,5001B00001A3lJgQAJ,6,After creating the call i was called within 5 minutes by Sander Wetzels Technical Support Engineerer. Incredible fast! Thumbs Up for that.,6,0011B00001IwF7rQAF
a0k1B00000H4fwSQAR,2018-06-26 05:06:05.000,5001B00001A3iU7QAJ,6,很好,6,001a000001QtTK5AAN
a0k1B00000H4fwNQAR,2018-06-26 04:48:06.000,5001B00001A3gCrQAJ,6,很好,6,001a000001QtTK5AAN
a0k1B00000H4fwIQAR,2018-06-26 03:49:58.000,5001B00001A3ksQQAR,6,,5,0013000000dqQAYAA2
a0k1B00000H4fwDQAR,2018-06-26 02:26:40.000,5001B00001A3RnEQAV,5,None,6,0011300001uiFFmAAM
a0k1B00000H4fw8QAB,2018-06-25 21:58:14.000,5001B000017LUmRQAW,6,,5,001a000001NIG5mAAH
a0k1B00000H4fw3QAB,2018-06-25 21:16:30.000,5001B00001A3feGQAR,5,,5,0011300001uiHhJAAU
a0k1B00000H4fvyQAB,2018-06-25 21:13:51.000,5001B00001A3mgbQAB,6,"My support person was very good, she was helpful and patient.",5,001a000001GZPODAA5
a0k1B00000H4fvtQAB,2018-06-25 19:44:01.000,5001B00001A3fmZQAR,6,The tech work diligently to resolve my issue.,5,0011300001uiP3ZAAU
a0k1B00000H4fvoQAB,2018-06-25 19:37:19.000,5001B00001A3jaVQAR,6,This call originated with Ed who was very helpful. But the main credit needs to go to Bobby Pengra for working tirelessly on the problem for over 4 hours. I greatly appreciate the help from everyone involved. With the Engineer's help we were able to narrow everything down and solve the problem.,6,0011300001cMfwcAAC
a0k1B00000H4fvjQAB,2018-06-25 17:50:37.000,5001B00001A3kgUQAR,6,,6,0013000000dqQAYAA2
a0k1B00000H4fveQAB,2018-06-25 17:43:23.000,5001B000017KbTQQA0,3,"I was hoping for additional support regarding our issue, though this issue was difficult to determine a root cause and still not resolved.",3,0011300001uiNboAAE
a0k1B00000H4fvZQAR,2018-06-25 16:55:59.000,5001B00001A3UZsQAN,3,Communication took a while and was unclear.  I ended up finding a workaround on my own in order to resolve my issue.,3,0011300001l4FOyAAM
a0k1B00000H4fvUQAR,2018-06-25 16:04:42.000,5001B00001A3b6WQAR,6,,6,0013000000dqPaUAAU
a0k1B00000H4fvPQAR,2018-06-25 15:47:35.000,5001B00001A3PdkQAF,6,,6,0013000000eaneAAAQ
a0k1B00000H4fvKQAR,2018-06-25 15:43:08.000,5001B000017L14qQAC,6,"Chris,
Thanks for going the extra mile to build a workaround where product wasn't performing as expected.  Your efforts will help me convince others in my organization that LANDesk is the right tool for us to be using company-wide.  This will result in adding up to 400 additional devices to our overall inventory.
Much appreciated!
- Mike",5,0013000000dqMZxAAM
a0k1B00000H4fvFQAR,2018-06-25 15:21:30.000,5001B000017LUffQAG,6,,6,0013000000dqPlQAAU
a0k1B00000H4fvAQAR,2018-06-25 14:13:35.000,5001B000017KXwWQAW,6,The technician I worked with followed up regularly until the issue was resolved. The response times were very good.,6,0013000000ealwtAAA
a0k1B00000H4fv5QAB,2018-06-25 14:04:22.000,5001B00001A3l6rQAB,6,,2,0011B00001IwGV9QAN
a0k1B00000H4fv0QAB,2018-06-25 13:31:32.000,5001B00001A3lJ7QAJ,6,What is a bit confusing....When I call the support number in the Netherlands I got a telephone menu where I could choose a language: there were only 3 options while your site indicates there are 4 countries in Europe. Dutch people have to choose English what is somewhat strange as the others countries do have a telephone menu entry for the own language.,5,0011B00001IwINtQAN
a0k1B00000H4fuvQAB,2018-06-25 13:10:08.000,5001B00001A3kizQAB,6,,6,0011300001uiMSsAAM
a0k1B00000H4fuqQAB,2018-06-25 12:47:43.000,5001B000017LQEvQAO,6,,6,001a000001NIPCmAAP
a0k1B00000H4fulQAB,2018-06-25 12:19:48.000,5001B00001A3U8XQAV,6,,6,001a000001NIKAFAA5
a0k1B00000H4fugQAB,2018-06-25 12:16:07.000,5001B00001A3goFQAR,5,,4,0011B00001IwMDRQA3
a0k1B00000H4fubQAB,2018-06-25 11:53:24.000,5001B00001A3l47QAB,6,,5,0011300001l4PaFAAU
a0k1B00000H4fuWQAR,2018-06-25 11:34:36.000,5001B000017KSw1QAG,1,,2,0011300001uiL5JAAU
a0k1B00000H4fuRQAR,2018-06-25 11:29:41.000,5001B000017KvqZQAS,1,,2,0011300001uiL5JAAU
a0k1B00000H4fuMQAR,2018-06-25 11:19:16.000,5001B00001A3bCoQAJ,5,,5,0011B00001IwFREQA3
a0k1B00000H4fuHQAR,2018-06-25 09:32:27.000,5001B000017KDweQAG,6,Piotr was great and very quick and updating the call and supplying us with suggestions to help the customer reach a resolution,6,0011300001uiEfPAAU
a0k1B00000H4fuCQAR,2018-06-25 07:34:24.000,5001B000016LdAJQA0,6,"Piotr is very knowledgeable and patient when going through the support process, diligently searching for information to resolve the problems had.",5,00130000016EF0EAAW
a0k1B00000H4fu7QAB,2018-06-25 07:07:23.000,5001B00001A3jg4QAB,6,,6,0011300001uiEcdAAE
a0k1B00000H4fu2QAB,2018-06-25 06:41:34.000,5001B00001A3bDNQAZ,6,,6,0011300001uiFwpAAE
a0k1B00000H4ftxQAB,2018-06-25 06:33:35.000,5001B000017KR6nQAG,5,,5,0011300001sU7LnAAK
a0k1B00000H4ftsQAB,2018-06-25 05:15:37.000,5001B00001A3bHKQAZ,5,,5,0011300001q4RJsAAM
a0k1B00000H4ftnQAB,2018-06-25 04:09:51.000,5001B00001A3iebQAB,5,,4,0011300001uiFKYAA2
a0k1B00000H4ftiQAB,2018-06-25 01:34:42.000,5001B00001A3iRSQAZ,6,Very good response and articulation as to "why" the system behaves a certain way.  Wish all responses were this detailed.,6,0013000000dqQAYAA2
a0k1B00000H4ftdQAB,2018-06-25 00:19:07.000,5001B000017LF0xQAG,6,,6,0013000000gbHLXAA2
a0k1B00000H4ftYQAR,2018-06-24 18:25:12.000,5001B00001A3eqcQAB,6,"The support agent was great! However, Ivanti Patch is sometimes a bit glitchy.",6,0011300001uiUVHAA2
a0k1B00000H4ftTQAR,2018-06-23 09:57:06.000,5001B000017LTIKQA4,6,,4,0011300001l4RdzAAE
a0k1B00000H4ftOQAR,2018-06-22 22:59:54.000,5001B00001A3hnDQAR,6,,6,0011300001uiFL4AAM
a0k1B00000H4ftJQAR,2018-06-22 22:42:52.000,5001B000013pCGwQAM,1,The majority of information provided by the technician was factually incorrect.,1,0013000000dqMotAAE
a0k1B00000H4ftEQAR,2018-06-22 20:16:17.000,5001B00001A3Y8ZQAV,6,,6,0011300001q355bAAA
a0k1B00000H4fszQAB,2018-06-22 19:41:20.000,5001B00001A3h51QAB,6,Martyn Roche was very helpful and willing to explain the process he was going through. I wish the other companies supplying us with support had employees like Martyn. Keep up the good work.,6,0013000000dqR8dAAE
a0k1B00000H4fsuQAB,2018-06-22 19:08:41.000,5001B000017KCxCQAW,6,"Paul Shields is fantastic.  He worked diligently with this issue, which was quite challenging. He is the definition of ""Customer Support"" and one of you most knowledgeable analysts!!",6,0011300001uiORFAA2
a0k1B00000H4fspQAB,2018-06-22 18:31:13.000,5001B00001A3hasQAB,6,"I really appreciate Ivanti Support team's help.  My all issues have been resolved on right time.  I never had to wait to resolve the issue.  
I would sincerely like to thanks Brian, Colton and Chris who really helped out of the way for resolving our issues.
Thanks again.
- Deepali Zambre from Ciox Health.",6,0013000000eaqfCAAQ
a0k1B00000H4fsfQAB,2018-06-22 18:13:02.000,5001B000017LKCuQAO,6,,6,0011300001uiHhJAAU
a0k1B00000H4fsaQAB,2018-06-22 18:04:34.000,5001B000017LKDYQA4,6,Adam loaded me up with all the information i was requesting. The insight is priceless,6,0011300001uiHhJAAU
a0k1B00000H4fsVQAR,2018-06-22 18:03:36.000,5001B000017LKIEQA4,6,,5,0011300001uiHhJAAU
